Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786970861,1500,,Aggregated,61.500000,0.000000,7800,14000,19000,24000,36000,47000,61000,72000,94000,106000,106000,8613,1939,7800,14333.402661081904,265.80219995230436,105714.33889999753,188.4193660745385
1786970862,1500,,Aggregated,59.600000,0.000000,7900,14000,20000,24000,36000,48000,62000,72000,94000,106000,106000,8678,1939,7900,14415.293049700227,265.80219995230436,105714.33889999753,188.83187370361836
1786970863,1500,,Aggregated,55.900000,0.000000,7900,14000,20000,24000,36000,48000,63000,73000,96000,107000,107000,8732,1939,7900,14496.085859688352,265.80219995230436,107209.612799983,189.06974347228584
1786970864,1500,,Aggregated,57.100000,0.000000,7900,15000,20000,24000,37000,48000,63000,73000,96000,111000,111000,8797,1939,7900,14557.497837478535,265.80219995230436,111474.1741999751,189.39843128339206
1786970865,1500,,Aggregated,56.100000,0.000000,8000,15000,20000,24000,37000,48000,64000,74000,101000,111000,111000,8865,1939,8000,14638.795698556,265.80219995230436,111474.1741999751,189.6945290468133
1786970866,1500,,Aggregated,55.200000,0.000000,8100,15000,20000,24000,37000,49000,64000,75000,101000,111000,111000,8944,1939,8100,14725.85582948332,265.80219995230436,111474.1741999751,190.1858228980322
1786970867,1500,,Aggregated,54.800000,0.000000,8100,15000,20000,24000,37000,49000,65000,75000,101000,111000,111000,9009,1939,8100,14811.799084715125,265.80219995230436,111474.1741999751,190.6062826062826
1786970868,1500,,Aggregated,54.800000,0.000000,8200,15000,20000,25000,37000,49000,65000,75000,101000,111000,111000,9069,1939,8200,14863.474073866908,265.80219995230436,111474.1741999751,190.7698753997133
1786970869,1500,,Aggregated,56.400000,0.000000,8200,15000,20000,25000,37000,49000,65000,76000,102000,122000,122000,9114,1939,8200,14913.864152611237,265.80219995230436,121906.0293000075,191.17467632214175
1786970870,1500,,Aggregated,58.600000,0.000000,8200,15000,20000,25000,37000,50000,66000,76000,102000,122000,122000,9183,1939,8200,14994.134157954812,265.80219995230436,121906.0293000075,191.70793858216268
1786970871,1500,,Aggregated,58.100000,0.000000,8300,15000,21000,25000,37000,50000,66000,76000,102000,122000,122000,9249,1939,8300,15064.285570093984,265.80219995230436,121906.0293000075,192.15590874689155
1786970872,1500,,Aggregated,60.800000,0.000000,8300,15000,21000,25000,38000,50000,67000,76000,105000,122000,122000,9326,1939,8300,15164.36426866815,265.80219995230436,121906.0293000075,192.54353420544714
1786970873,1500,,Aggregated,64.300000,0.000000,8400,15000,21000,25000,38000,50000,67000,77000,105000,122000,122000,9388,1939,8400,15225.590160204443,265.80219995230436,121906.0293000075,192.9578184916915
1786970874,1500,,Aggregated,63.700000,0.000000,8400,15000,21000,25000,38000,50000,67000,77000,105000,122000,122000,9451,1939,8400,15272.155040736372,265.80219995230436,121906.0293000075,193.24367791768066
1786970875,1500,,Aggregated,65.700000,0.000000,8400,15000,21000,25000,38000,51000,67000,77000,106000,122000,122000,9484,1939,8400,15307.078474968304,265.80219995230436,121906.0293000075,193.42271193589204
1786970876,1500,,Aggregated,66.000000,0.000000,8500,16000,21000,25000,38000,51000,67000,77000,106000,122000,122000,9530,1939,8500,15325.285888625342,265.80219995230436,121906.0293000075,193.6414480587618
1786970877,1500,,Aggregated,63.900000,0.000000,8500,16000,21000,25000,38000,51000,67000,77000,106000,122000,122000,9552,1939,8500,15342.116036348363,265.80219995230436,121906.0293000075,193.63505025125627
1786970878,1500,,Aggregated,60.600000,0.000000,8500,16000,21000,25000,38000,51000,67000,78000,106000,122000,122000,9587,1939,8500,15405.45886108268,265.80219995230436,121906.0293000075,193.83780118911025
1786970879,1500,,Aggregated,56.400000,0.000000,8500,16000,21000,26000,39000,51000,67000,78000,107000,122000,122000,9636,1939,8500,15474.578225300913,265.80219995230436,121906.0293000075,194.12588210875882
1786970880,1500,,Aggregated,52.900000,0.000000,8600,16000,21000,26000,39000,51000,67000,78000,107000,122000,122000,9709,1939,8600,15537.62660036045,265.80219995230436,121906.0293000075,194.82871562467813
1786970881,1500,,Aggregated,53.300000,0.000000,8600,16000,21000,26000,39000,51000,68000,78000,107000,122000,122000,9744,1939,8600,15569.5137052237,265.80219995230436,121906.0293000075,195.1565065681445
1786970882,1500,,Aggregated,51.500000,0.000000,8600,16000,21000,26000,39000,52000,68000,78000,107000,122000,122000,9756,1939,8600,15574.312750594474,265.80219995230436,121906.0293000075,195.28064780647807
